Feature,Count
L1.Frame_Length,324
L1.Timestamp,324
Ethernet.dst,324
Ethernet.src,324
Ethernet.type,324
UDP.dport,246
UDP.sport,246
UDP.chksum,246
UDP.len,246
IP.len,232
IP.tos,232
IP.ihl,232
IP.version,232
IP.id,232
IP.flags,232
IP.frag,232
IP.ttl,232
IP.dst,232
IP.src,232
IP.proto,232
IP.chksum,232
IP.options,232
IP.flags.DF,199
ARP.hwtype,78
ARP.ptype,78
ARP.hwlen,78
ARP.plen,78
ARP.op,78
ARP.hwsrc,78
ARP.psrc,78
ARP.hwdst,78
ARP.pdst,78
IP.flags.,33
IPv6.version,14
IPv6.tc,14
IPv6.fl,14
IPv6.plen,14
IPv6.nh,14
IPv6.hlim,14
IPv6.src,14
IPv6.dst,14
