Feature,Count
L1.Frame_Length,225
L1.Timestamp,225
Ethernet.dst,225
Ethernet.src,225
Ethernet.type,225
IP.version,179
IP.ihl,179
IP.tos,179
IP.len,179
IP.id,179
IP.flags,179
IP.frag,179
IP.ttl,179
IP.dst,179
IP.proto,179
IP.chksum,179
IP.src,179
IP.options,179
IP.flags.DF,167
TCP.sport,92
TCP.dport,92
TCP.seq,92
TCP.ack,92
TCP.dataofs,92
TCP.reserved,92
TCP.flags,92
TCP.flags.S,92
TCP.window,92
TCP.chksum,92
TCP.urgptr,92
TCP.options,92
UDP.len,92
UDP.chksum,92
UDP.sport,92
UDP.dport,92
ARP.hwtype,40
ARP.ptype,40
ARP.hwsrc,40
ARP.op,40
ARP.plen,40
ARP.hwlen,40
ARP.hwdst,40
ARP.pdst,40
ARP.psrc,40
IP.flags.,12
IPv6.version,6
IPv6.tc,6
IPv6.fl,6
IPv6.plen,6
IPv6.nh,6
IPv6.hlim,6
IPv6.src,6
IPv6.dst,6
